Container_ID,Name,CPU_percentage,Mem_usage,/,Mem_Limit,Mem_percentage,Net_I,/,Net_O,Block_I,/,Block_O,PIDS,Time_stamp
f131167c3e64,algorand-sandbox-indexer,0.00%,45.21MiB,/,7.668GiB,0.58%,18.4kB,/,17.4kB,0B,/,41kB,10,1686369050.997754
79c12d1fee8d,algorand-sandbox-algod,54.80%,150.9MiB,/,7.668GiB,1.92%,153kB,/,226kB,0B,/,164kB,23,1686369050.997754
44b46bdded1c,algorand-sandbox-postgres,0.06%,19.89MiB,/,7.668GiB,0.25%,15.2kB,/,8.81kB,0B,/,217kB,9,1686369050.997754
f131167c3e64,algorand-sandbox-indexer,0.42%,45.51MiB,/,7.668GiB,0.58%,27.6kB,/,31.6kB,0B,/,41kB,10,1686369053.009503
79c12d1fee8d,algorand-sandbox-algod,76.41%,164.3MiB,/,7.668GiB,2.09%,579kB,/,884kB,0B,/,164kB,23,1686369053.009503
44b46bdded1c,algorand-sandbox-postgres,0.35%,19.89MiB,/,7.668GiB,0.25%,28.7kB,/,14.2kB,0B,/,217kB,9,1686369053.009503
f131167c3e64,algorand-sandbox-indexer,0.00%,45.51MiB,/,7.668GiB,0.58%,27.6kB,/,31.6kB,0B,/,41kB,10,1686369055.025003
79c12d1fee8d,algorand-sandbox-algod,67.40%,165.5MiB,/,7.668GiB,2.11%,1.02MB,/,1.57MB,0B,/,164kB,23,1686369055.025003
44b46bdded1c,algorand-sandbox-postgres,0.04%,19.89MiB,/,7.668GiB,0.25%,28.7kB,/,14.2kB,0B,/,217kB,9,1686369055.025003
f131167c3e64,algorand-sandbox-indexer,0.00%,46.03MiB,/,7.668GiB,0.59%,44.6kB,/,64.6kB,0B,/,115kB,10,1686369057.03694
79c12d1fee8d,algorand-sandbox-algod,68.09%,168.2MiB,/,7.668GiB,2.14%,1.44MB,/,2.24MB,0B,/,164kB,23,1686369057.03694
44b46bdded1c,algorand-sandbox-postgres,0.03%,20.12MiB,/,7.668GiB,0.26%,61.1kB,/,19.4kB,0B,/,217kB,9,1686369057.03694
f131167c3e64,algorand-sandbox-indexer,0.02%,46.29MiB,/,7.668GiB,0.59%,55.4kB,/,67.9kB,0B,/,115kB,10,1686369059.0562859
79c12d1fee8d,algorand-sandbox-algod,84.73%,171.1MiB,/,7.668GiB,2.18%,1.87MB,/,2.91MB,0B,/,164kB,23,1686369059.0562859
44b46bdded1c,algorand-sandbox-postgres,0.04%,20.12MiB,/,7.668GiB,0.26%,61.2kB,/,19.4kB,0B,/,217kB,9,1686369059.0562859
f131167c3e64,algorand-sandbox-indexer,0.00%,46.38MiB,/,7.668GiB,0.59%,59.6kB,/,94.8kB,0B,/,115kB,10,1686369061.071855
79c12d1fee8d,algorand-sandbox-algod,40.19%,173.2MiB,/,7.668GiB,2.21%,2.13MB,/,3.32MB,0B,/,164kB,23,1686369061.071855
44b46bdded1c,algorand-sandbox-postgres,0.05%,20.18MiB,/,7.668GiB,0.26%,90.7kB,/,24.4kB,0B,/,217kB,9,1686369061.071855
f131167c3e64,algorand-sandbox-indexer,0.70%,47.74MiB,/,7.668GiB,0.61%,75kB,/,124kB,0B,/,188kB,10,1686369063.084577
79c12d1fee8d,algorand-sandbox-algod,41.98%,173.6MiB,/,7.668GiB,2.21%,2.3MB,/,3.61MB,0B,/,197kB,24,1686369063.084577
44b46bdded1c,algorand-sandbox-postgres,0.46%,20.23MiB,/,7.668GiB,0.26%,119kB,/,29.5kB,0B,/,217kB,9,1686369063.084577
f131167c3e64,algorand-sandbox-indexer,0.00%,47.74MiB,/,7.668GiB,0.61%,75kB,/,124kB,0B,/,188kB,10,1686369065.108945
79c12d1fee8d,algorand-sandbox-algod,26.40%,173.6MiB,/,7.668GiB,2.21%,2.34MB,/,3.68MB,0B,/,197kB,24,1686369065.108945
44b46bdded1c,algorand-sandbox-postgres,0.10%,20.23MiB,/,7.668GiB,0.26%,119kB,/,29.5kB,0B,/,217kB,9,1686369065.108945
f131167c3e64,algorand-sandbox-indexer,0.68%,47.06MiB,/,7.668GiB,0.60%,18.4kB,/,17.1kB,0B,/,0B,10,1686369072.178329
79c12d1fee8d,algorand-sandbox-algod,34.30%,74.09MiB,/,7.668GiB,0.94%,3.27kB,/,8.23kB,0B,/,164kB,23,1686369072.178329
44b46bdded1c,algorand-sandbox-postgres,1.01%,19.94MiB,/,7.668GiB,0.25%,14.9kB,/,8.68kB,0B,/,28.7kB,9,1686369072.178329
f131167c3e64,algorand-sandbox-indexer,0.00%,47.06MiB,/,7.668GiB,0.60%,18.5kB,/,17.1kB,0B,/,0B,10,1686369074.181673
79c12d1fee8d,algorand-sandbox-algod,61.25%,153.9MiB,/,7.668GiB,1.96%,148kB,/,219kB,0B,/,164kB,23,1686369074.181673
44b46bdded1c,algorand-sandbox-postgres,0.06%,19.93MiB,/,7.668GiB,0.25%,14.9kB,/,8.68kB,0B,/,217kB,9,1686369074.181673
f131167c3e64,algorand-sandbox-indexer,0.46%,47.1MiB,/,7.668GiB,0.60%,27.6kB,/,31.2kB,0B,/,0B,10,1686369076.1908638
79c12d1fee8d,algorand-sandbox-algod,84.27%,166.3MiB,/,7.668GiB,2.12%,514kB,/,784kB,0B,/,164kB,23,1686369076.1908638
44b46bdded1c,algorand-sandbox-postgres,0.41%,19.93MiB,/,7.668GiB,0.25%,28.3kB,/,14.1kB,0B,/,217kB,9,1686369076.1908638
f131167c3e64,algorand-sandbox-indexer,0.00%,47.1MiB,/,7.668GiB,0.60%,27.6kB,/,31.2kB,0B,/,0B,10,1686369078.2057521
